Booking_ID,Trip_Date,Year,Quarter,Month,Month_Name,Day_Of_Week,Is_Weekend,Carrier,Customer,Vehicle_No,Vehicle_Type_Clean,Vehicle_Category,Origin_City,Origin_State,Destination_City,Destination_State,GPS_Provider,Market_Type,Distance_KM,Planned_Transit_Hours,Actual_Transit_Hours,Delay_Hours,On_Time_Flag,Has_Missing_Distance,Has_Missing_Vehicle_Type
VCV00012401/082021,2020-08-25,2020,3,8,August,Tuesday,0,Arvinth Transport,Daimler India Commercial Vehicles Pvt Lt,TN28AQ0975,,Unknown,KANCHIPURAM,TAMIL NADU,KANCHIPURAM,TAMIL NADU,VAMOSYS,Regular,21.0,100.01443138888888,8.795735277777778,-91.2186961111111,1.0,0,1
VCV00012040/082021,2020-08-25,2020,3,8,August,Tuesday,0,Vj Logistics,Daimler India Commercial Vehicles Pvt Lt,TN30BC9320,,Unknown,KANCHIPURAM,TAMIL NADU,KANCHIPURAM,TAMIL NADU,VAMOSYS,Regular,29.0,100.01445000000001,13.76388888888889,-86.25056111111111,1.0,0,1
AEIBK2026524,2020-08-20,2020,3,8,August,Thursday,0,Efc Infrastructures Private Limited,Ford India Private Limited,TN01AR9338,32 FT Single-Axle 7MT - HCV,HCV,Ahmedabad,Gujarat,Kanchipuram,Tamil Nadu,CONSENT TRACK,Regular,1900.0,82.85527777777777,136.4317972222222,53.57651944444444,0.0,0,0
VCV00011231/082021,2020-08-22,2020,3,8,August,Saturday,1,Eswar Transport,Daimler India Commercial Vehicles Pvt Lt,TN88C8204,,Unknown,KANCHIPURAM,TAMIL NADU,KANCHIPURAM,TAMIL NADU,VAMOSYS,Regular,931.0,100.0175888888889,80.89597694444444,-19.121611944444446,1.0,0,1
VCV00011946/082021,2020-08-25,2020,3,8,August,Tuesday,0,Vj Logistics,Daimler India Commercial Vehicles Pvt Lt,TN30BC5982,,Unknown,KANCHIPURAM,TAMIL NADU,KANCHIPURAM,TAMIL NADU,VAMOSYS,Regular,103.0,100.01575,21.46787861111111,-78.5478713888889,1.0,0,1
AEIBK2026835,2020-08-21,2020,3,8,August,Friday,0,Subham Expressways Llp,Tvs Srichakra Limited,TN28AP6935,24 FT SXL Container,Container,Madurai,Tamil Nadu,Mysore,Karnataka,CONSENT TRACK,Regular,525.0,68.68305555555555,103.78343694444445,35.10038138888889,0.0,0,0
MVCV0001533/082021,2020-08-25,2020,3,8,August,Tuesday,0,Arvinth Transport,Daimler India Commercial Vehicles Pvt Lt,TN88C8932,,Unknown,KANCHIPURAM,TAMIL NADU,KANCHIPURAM,TAMIL NADU,VAMOSYS,Market,270.0,100.0,0.15725555555555557,-99.84274444444445,1.0,0,1
VCV00011949/082021,2020-08-25,2020,3,8,August,Tuesday,0,Eswar Transport,Daimler India Commercial Vehicles Pvt Lt,TN887661,,Unknown,KANCHIPURAM,TAMIL NADU,KANCHIPURAM,TAMIL NADU,VAMOSYS,Regular,3.0,100.019625,18.74852222222222,-81.27110277777777,1.0,0,1
VCV00011706/082021,2020-08-24,2020,3,8,August,Monday,0,Krc Logistics,Daimler India Commercial Vehicles Pvt Lt,TN11J6678,,Unknown,KANCHIPURAM,TAMIL NADU,KANCHIPURAM,TAMIL NADU,KRC LOGISTICS,Regular,21.0,100.01156027777779,24.946104722222223,-75.06545555555556,1.0,0,1
VCV00011961/082021,2020-08-25,2020,3,8,August,Tuesday,0,Susee Transporter,Daimler India Commercial Vehicles Pvt Lt,TN12C9762,,Unknown,KANCHIPURAM,TAMIL NADU,KANCHIPURAM,TAMIL NADU,VAMOSYS,Regular,15.0,100.0232,11.357136944444445,-88.66606305555555,1.0,0,1
