Booking_ID,Trip_Date,Year,Quarter,Month,Month_Name,Day_Of_Week,Is_Weekend,Carrier,Customer,Vehicle_No,Vehicle_Type_Clean,Vehicle_Category,Origin_City,Origin_State,Destination_City,Destination_State,GPS_Provider,Market_Type,Distance_KM,Planned_Transit_Hours,Actual_Transit_Hours,Delay_Hours,On_Time_Flag,Has_Missing_Distance,Has_Missing_Vehicle_Type
VCV00010453/082021,2020-08-20,2020,3,8,August,Thursday,0,G.S. Transport,Lucas Tvs Ltd,TN22AR2748,,Unknown,PONDY,PONDICHERRY,PONDY,PONDICHERRY,CONSENT TRACK,Regular,300.0,100.09576305555555,92.27857416666667,-7.817188888888889,1.0,0,1
VCV00011649/082021,2020-08-24,2020,3,8,August,Monday,0,Sri Pachiamman Transport,Ashok Leyland Limited,KA22B0825,,Unknown,HOSUR,KARNATAKA,HOSUR,KARNATAKA,VAMOSYS,Regular,110.0,100.02648888888889,0.36194916666666666,-99.66453972222222,1.0,0,1
VCV00011515/082021,2020-08-24,2020,3,8,August,Monday,0,Sr Transports,Lucas Tvs Ltd,TN73AB7106,,Unknown,CHENNAI,TAMIL NADU,PONDY,PONDICHERRY,VAMOSYS,Regular,170.0,100.03018333333333,3.69805,-96.33213333333333,1.0,0,1
VCV00011635/082021,2020-08-24,2020,3,8,August,Monday,0,Sri Pachiamman Transport,Ashok Leyland Limited,TN283256,,Unknown,HOSUR,KARNATAKA,HOSUR,KARNATAKA,VAMOSYS,Regular,110.0,100.01200555555555,0.48735555555555554,-99.52465,1.0,0,1
VCV00010882/082021,2020-08-21,2020,3,8,August,Friday,0,Vj Logistics,Daimler India Commercial Vehicles Pvt Lt,TN30BC5917,,Unknown,KANCHIPURAM,TAMIL NADU,KANCHIPURAM,TAMIL NADU,VAMOSYS,Regular,103.0,100.01155638888889,74.21485000000001,-25.79670638888889,1.0,0,1
VCV00011624/082021,2020-08-24,2020,3,8,August,Monday,0,Garg Transport Company,Hero Motocorp Ltd,HR55T3000,,Unknown,ALWAR,RAJASTHAN,ALWAR,RAJASTHAN,VIRSTEMPO,Regular,242.0,100.36331194444445,1.600154722222222,-98.76315722222222,1.0,0,1
AEIBK2026830,2020-08-21,2020,3,8,August,Friday,0,Net Logistics,Tvs Srichakra Limited,KA51D3946,32 FT Multi-Axle 14MT - HCV,HCV,Madurai,Tamil Nadu,Mysore,Karnataka,CONSENT TRACK,Regular,525.0,47.88777777777778,69.71737694444444,21.829599166666668,0.0,0,0
AEIBK2026514,2020-08-19,2020,3,8,August,Wednesday,0,Siraj Ahmed,Ericsson India Private Limited,MH14GD1806,32 FT Single-Axle 7MT - HCV,HCV,Pune,Maharashtra,Tiruvallur,Tamil Nadu,CONSENT TRACK,Regular,1175.0,64.7388888888889,113.73712305555556,48.99823416666667,0.0,0,0
VCV00011601/082021,2020-08-24,2020,3,8,August,Monday,0,Sri Pachiamman Transport,Ashok Leyland Limited,TN52Y0785,,Unknown,HOSUR,KARNATAKA,HOSUR,KARNATAKA,VAMOSYS,Regular,110.0,100.09947694444445,0.42757694444444444,-99.67190000000001,1.0,0,1
VCV00011597/082021,2020-08-24,2020,3,8,August,Monday,0,Sri Pachiamman Transport,Ashok Leyland Limited,TN283256,,Unknown,HOSUR,KARNATAKA,HOSUR,KARNATAKA,VAMOSYS,Regular,110.0,100.02546666666666,0.6899675,-99.33549916666668,1.0,0,1
VCV00011604/082021,2020-08-24,2020,3,8,August,Monday,0,Bally Logistics & Warehousing Private Limited,Wabco India Ltd,TN20BV6187,32 FT Single-Axle 7MT - HCV,HCV,CHENNAI,TAMIL NADU,HOSUR,TAMIL NADU,BALLY LOGISTICS,Regular,325.0,100.01008611111111,5.007836111111111,-95.00224999999999,1.0,0,1
